"1. Are you currently working as a Quality Assurance (QA) professional in the Sri Lankan IT industry?

(If “No,” you may exit the survey as this study focuses on QA professionals.)",2. How many years of experience do you have in QA or software testing?,"3.  What is your current job level?
",4.  What type of IT organization do you work in?,5. Which software development methodology is primarily used in your company?,"6. On average, how many deadlines or release cycles do you handle per month?",7.  Have you experienced performance pressure or anxiety during work?,Concern Over Mistakes [I feel upset when I make even a small mistake at work.],Concern Over Mistakes [I tend to dwell on my mistakes for a long time.],Concern Over Mistakes [I worry about how others will view me if I make a mistake.],Concern Over Mistakes [Mistakes at work feel like personal failures to me.],Concern Over Mistakes [I avoid taking risks at work because I fear making errors.],Self-Oriented Perfectionism  [I set very high standards for myself in my QA tasks.],Self-Oriented Perfectionism  [I feel that nothing I do is ever good enough.],"Self-Oriented Perfectionism  [I push myself to deliver flawless results, even at the expense of time or energy.]",Self-Oriented Perfectionism  [I feel uncomfortable submitting work unless it’s perfect.],Self-Oriented Perfectionism  [I find it hard to relax when my work doesn’t meet my expectations.],Socially Prescribed Perfectionism  [I feel pressure to meet the expectations of others at work.],Socially Prescribed Perfectionism  [I think my worth depends on how well I perform in my job.],Socially Prescribed Perfectionism  [I believe others will only accept me if I’m successful at my work.],Socially Prescribed Perfectionism  [I often feel judged by my team or supervisor.],Socially Prescribed Perfectionism  [I worry that failing at a task will disappoint my colleagues.],Doubts About Actions  [I frequently question whether I’ve done my job correctly.],Doubts About Actions  [I double-check my work repeatedly to ensure it’s error-free.],Doubts About Actions  [I often feel unsure about the quality of my testing.],Doubts About Actions  [I need constant reassurance that my work is good enough],Doubts About Actions  [I find it difficult to feel satisfied after completing a task.],Fear of Negative Evaluation  [I worry about receiving negative feedback from others.],Fear of Negative Evaluation  [I become anxious when I know my work will be reviewed.],Fear of Negative Evaluation  [I fear that others may think I’m not competent.],Fear of Negative Evaluation  [I avoid asking for help to prevent looking weak or incapable],Fear of Negative Evaluation  [I feel uneasy during performance reviews or team evaluations],Fear of Failure [I worry that failing at a task will make others think less of me.],Fear of Failure [I avoid taking on new tasks at work if there's a chance I might fail.],"Fear of Failure [I feel ashamed when I make mistakes, even minor ones.]",Fear of Failure [I constantly think about how others might react if I fail at something.],Fear of Failure [I get anxious at work because I fear disappointing my team or manager.],Workplace Support [I receive adequate support from my team when I am under pressure.],Workplace Support [My supervisor is approachable and understanding when I face work challenges.],Workplace Support [My workplace encourages open discussions about mental health and emotional well-being.],Workplace Support [I feel comfortable seeking help from peers or supervisors when I encounter difficulties.],Workplace Support [The company culture promotes collaboration and emotional support during high-pressure periods.],Performance Anxiety [I often worry about making mistakes at work that could lead to serious consequences.],Performance Anxiety [I feel nervous or anxious before completing a critical QA task or release.],Performance Anxiety [Fear of missing defects affects my confidence during test execution.],"Performance Anxiety [I experience physical symptoms (e.g., sweating, heart racing etc.) due to work pressure.]",Performance Anxiety [I constantly question whether my work meets the expected quality standards.],1. Gender,2. Age,3. Marital Status,4. Educational Qualification,5. Employment Type,6.Monthly Inome (LKR)
Yes,More than 10 years,QA Manager,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",More than 5,Rarely,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Male,36-45 years,Married,Master's Degree,Full-time,"Above 500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",5-Apr,"Yes, occasionally",Neutral,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Female,26-35 years,Single,Master's Degree,Full-time,"200,000-500,000"
Yes,1–3 years,QA,Local Company,"Agile (e.g., Scrum, Kanban)",3-Feb,"Yes, occasionally",Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Male,26-35 years,Single,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",5-Apr,"Yes, occasionally",Neutral,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Male,26-35 years,Married,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,Not Sure,3-Feb,Rarely,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Male,26-35 years,Single,Master's Degree,Full-time,"200,000-500,000"
Yes,Less than 1 year,Associate QA,Local Company,"Agile (e.g., Scrum, Kanban)",1,"Yes, frequently",Neutral,Neutral,Agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Male,26-35 years,Single,Master's Degree,Full-time,"200,000-500,000"
Yes,4–6 years,QA,Local Company,"Agile (e.g., Scrum, Kanban)",3-Feb,"Yes, occasionally",Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Female,26-35 years,Married,Master's Degree,Full-time,"200,000-500,000"
Yes,Less than 1 year,Trainee/Intern QA,Freelance / Contract-based,"Agile (e.g., Scrum, Kanban)",3-Feb,"Yes, occasionally",Agree,Disagree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Female,26-35 years,Single,Bachelor's Degree,Internship,"Below 50,000"
Yes,More than 10 years,QA Manager,International / Foreign Company,Hybrid / Mixed,5-Apr,Never,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Male,36-45 years,Married,Master's Degree,Full-time,"Above 500,000"
Yes,7-10 years,QA Lead,International / Foreign Company,Hybrid / Mixed,3-Feb,Rarely,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Male,36-45 years,Married,Bachelor's Degree,Full-time,"Above 500,000"
Yes,7-10 years,QA Lead,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",5-Apr,Rarely,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Female,36-45 years,Married,Master's Degree,Full-time,"Above 500,000"
Yes,More than 10 years,QA Lead,Freelance / Contract-based,"Agile (e.g., Scrum, Kanban)",More than 5,Rarely,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Female,36-45 years,Married,Master's Degree,Full-time,"Above 500,000"
Yes,7-10 years,Senior QA,Freelance / Contract-based,"Agile (e.g., Scrum, Kanban)",3-Feb,Rarely,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Male,26-35 years,Single,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,1–3 years,QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",3-Feb,Rarely,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Male,26-35 years,Single,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",3-Feb,Rarely,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Male,18-25 years,Single,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",3-Feb,Rarely,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Male,26-35 years,Single,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,Hybrid / Mixed,3-Feb,Rarely,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Male,26-35 years,Married,Bachelor's Degree,Full-time,"Above 500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",3-Feb,"Yes, occasionally",Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Male,26-35 years,Married,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,7-10 years,QA Lead,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",5-Apr,"Yes, occasionally",Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Male,26-35 years,Single,Bachelor's Degree,Full-time,"Above 500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",3-Feb,Rarely,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Female,26-35 years,Married,Bachelor's Degree,Part-time,"200,000-500,000"
Yes,4–6 years,QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",1,Rarely,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Female,26-35 years,Married,Master's Degree,Full-time,"200,000-500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",3-Feb,Rarely,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Male,26-35 years,Single,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",3-Feb,"Yes, occasionally",Neutral,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Female,26-35 years,Married,Bachelor's Degree,Full-time,"Above 500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,Waterfall,3-Feb,Rarely,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Male,26-35 years,Married,Master's Degree,Full-time,"Above 500,000"
Yes,1–3 years,QA,International / Foreign Company,Hybrid / Mixed,3-Feb,"Yes, occasionally",Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Female,26-35 years,Married,Master's Degree,Full-time,"Above 500,000"
Yes,7-10 years,QA Lead,International / Foreign Company,Hybrid / Mixed,5-Apr,"Yes, occasionally",Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Female,26-35 years,Married,Master's Degree,Full-time,"Above 500,000"
Yes,7-10 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",5-Apr,Rarely,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Male,26-35 years,Single,Master's Degree,Full-time,"Above 500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,Hybrid / Mixed,3-Feb,Rarely,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Male,26-35 years,Married,Master's Degree,Full-time,"200,000-500,000"
Yes,1–3 years,Associate QA,International / Foreign Company,Hybrid / Mixed,More than 5,"Yes, frequently",Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Female,26-35 years,Single,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,1–3 years,Associate QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",5-Apr,"Yes, frequently",Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Male,26-35 years,Single,Bachelor's Degree,Full-time,"50-200,000"
Yes,7-10 years,QA Lead,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",More than 5,"Yes, occasionally",Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Female,26-35 years,Single,Bachelor's Degree,Full-time,"50-200,000"
Yes,1–3 years,Associate QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",More than 5,"Yes, frequently",Agree,Disagree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Female,26-35 years,Single,Bachelor's Degree,Full-time,"50-200,000"
Yes,4–6 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",3-Feb,Rarely,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Male,26-35 years,Married,Bachelor's Degree,Full-time,"Above 500,000"
Yes,1–3 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",3-Feb,"Yes, occasionally",Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Male,26-35 years,Single,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,More than 10 years,QA Lead,Local Company,"Agile (e.g., Scrum, Kanban)",3-Feb,"Yes, occasionally",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Male,26-35 years,Married,Master's Degree,Full-time,"Above 500,000"
Yes,7-10 years,Senior QA,Local Company,"Agile (e.g., Scrum, Kanban)",3-Feb,"Yes, occasionally",Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Female,26-35 years,Single,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,4–6 years,QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",3-Feb,"Yes, occasionally",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Disagree,Female,36-45 years,Divorced,Bachelor's Degree,Full-time,"200,000-500,000"
Yes,4–6 years,QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",3-Feb,"Yes, frequently",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Male,26-35 years,Single,Master's Degree,Full-time,"200,000-500,000"
Yes,4–6 years,Senior QA,International / Foreign Company,Waterfall,1,"Yes, occasionally",Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Female,26-35 years,Married,Master's Degree,Full-time,"200,000-500,000"
Yes,1–3 years,Senior QA,International / Foreign Company,"Agile (e.g., Scrum, Kanban)",1,Rarely,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Female,26-35 years,Married,Master's Degree,Full-time,"200,000-500,000"
Yes,7-10 years,Senior QA,Local Company,"Agile (e.g., Scrum, Kanban)",3-Feb,"Yes, occasionally",Strongly Agree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Female,26-35 years,Married,Bachelor's Degree,Full-time,"200,000-500,000"
